--------------------------------------------------------------------------------
                         MPI COMMUNICATION INFORMATION                          
--------------------------------------------------------------------------------
mpi_size=64
--------------------------------------------------------------------------------
                             GENERATED RANDOM SEEDS                             
--------------------------------------------------------------------------------

rv_seed=1152432222

  rank     iter      seed   
   12       1     2021515274
   12       2      555731307
   12       3      260476574
   12       4      821202341
   12       5      217607773
   12       6      788958381
   12       7     2116309678
   12       8       76633817
   12       9      996037526
   13       0      894441424
   13       1      321266483
   13       2     1464585562
   13       3     1452059445
   13       4      704784122
   13       5     1660916573
   13       6      682445723
   13       7     1294449049
   13       8     2091880813
   13       9      967392916
   14       0      426834723
   14       1      607300744
   14       2     1843583420
   14       3      557565483
   14       4     1694072846
   14       5     2087587733
   14       6      320901993
   14       7     1398826047
   14       8     2047341473
   14       9      135713204
   15       0     1801769659
   15       1      775399871
   15       2     1411346655
   15       3     2083622017
   15       4     1625362258
   15       5     1417068849
   15       6     1411325860
   15       7     1963343403
   15       8      301247799
   15       9     1950370205
   16       0     1958623900
   16       1       66246775
   16       2     1777734488
   16       3      475010866
   16       4     1701346411
   16       5      796218670
   16       6     1554150895
   16       7      787161459
   16       8      365639614
   16       9     1140259897
   17       0     1750421762
   17       1     1703099181
   17       2      238017036
   17       3      289824763
   17       4     1413616423
   17       5     1115944145
   17       6     1544868237
   17       7     1389331315
   17       8     1707304231
   17       9      259768314
   18       0     2005894464
   18       1     1828397821
   18       2      983985980
   18       3      829799334
   18       4     1301675868
   18       5     1255624927
   18       6     1124738956
   18       7     1417164315
   18       8      135631370
   18       9     1958617647
   19       0      324605213
   19       1      973725021
   19       2      262118012
   19       3      326335912
   19       4      450897185
   19       5     1822407055
   19       6       40811935
   19       7     1065534948
   19       8      853662411
   19       9     1645650704
   20       0      283585651
   20       1      553828997
   20       2     1118878706
   20       3      293361815
   20       4     1497064349
   20       5      662638113
   20       6      418316010
   20       7      150547083
   20       8     1610483008
   20       9      527849088
   21       0      102652159
   21       1      431193224
   21       2     1357953046
   21       3     1080239465
   21       4      950332918
   21       5      920696613
   21       6     1885012419
   21       7     1942611217
   21       8      235499499
   21       9      627412529
   22       0     1835052571
   22       1     1189412957
   22       2     1306403621
   22       3     1425585635
   22       4      360977270
   22       5     1241279117
   22       6     1173937118
   22       7     1549047730
   22       8      341586066
   22       9      870854730
   23       0     1566314416
   23       1      206409493
   23       2     1862142621
   23       3     1970411366
   23       4      227805575
   23       5     1268850192
   23       6       99465209
   23       7      606352982
   23       8     1925350495
   23       9      852748062
   24       0     1152584477
   24       1     1725344334
   24       2      257120166
   24       3      820353853
   24       4     1566999416
   24       5     1207803038
   24       6     1696658550
   24       7     1330876170
   24       8      238652157
   24       9      763462237
   25       0     1747567265
   25       1      821702142
   25       2     1808524656
   25       3     2044316826
   25       4      880914306
   25       5     1718067750
   25       6     1692412549
   25       7     1042197508
   25       8     1040383470
   25       9     1943764631
   26       0     1775032839
   26       1     1405647194
   26       2      724161847
   26       3      692749486
   26       4     1805332031
   26       5      613609179
   26       6      379055513
   26       7     1733698382
   26       8       75653374
   26       9      872010299
   27       0     1026175246
   27       1      286937416
   27       2     1061126223
   27       3     2051092573
   27       4      243467720
   27       5      790862138
   27       6      501901172
   27       7      656359463
   27       8     1130545924
   27       9     1493660981
   28       0     1904306560
   28       1      759026246
   28       2     1513407573
   28       3      477214043
   28       4     2059272844
   28       5      523561275
   28       6      181086412
   28       7      876677872
   28       8      670198567
   28       9     2010095817
   29       0     2042559114
   29       1     1882646664
   29       2     1332290503
   29       3      429546823
   29       4      142399258
   29       5     1276118938
   29       6     1034979027
   29       7     1872236778
   29       8     1914977389
   29       9      797129617
   30       0      279955514
   30       1      410135910
   30       2       17490448
   30       3     2129859946
   30       4      154265862
   30       5      730168438
   30       6     1600494560
   30       7       28424149
   30       8     1291693034
   30       9     1585871286
   31       0     1884670976
   31       1     1663541341
   31       2      393764753
   31       3     1376559287
   31       4     1643990548
   31       5     1452741942
   31       6     1840604459
   31       7      334133925
   31       8     1966097113
   31       9       35457292
   32       0       39306989
   32       1      549584230
   32       2      306297866
   32       3      453094334
   32       4     1503498420
   32       5      664328005
   32       6      669664879
   32       7     1591717235
   32       8      353359547
   32       9      329031623
   33       0      463562663
   33       1     1757840816
   33       2      194293599
   33       3      631311483
   33       4     1604387233
   33       5     1276970286
   33       6     1022614918
   33       7     1100386470
   33       8      906979418
   33       9      628962478
   34       0     1697638874
   34       1      385005393
   34       2      816747706
   34       3     2055010329
   34       4     1703559343
   34       5      545130596
   34       6     1241700874
   34       7     1491463232
   34       8      542032942
   34       9      509850110
   35       0      699807483
   35       1     1717266692
   35       2      492477691
   35       3      919836069
   35       4      988988852
   35       5     1721148130
   35       6     1277238419
   35       7     1794549839
   35       8     1106188528
   35       9      111495945
   36       0      427788717
   36       1      406469073
   36       2     1205613404
   36       3     2145660542
   36       4     1212622013
   36       5     1127583712
   36       6      572214684
   36       7     1012441685
   36       8     1582144844
   36       9     2022947435
   37       0      401241762
   37       1      443216503
   37       2      420820798
   37       3     1661039961
   37       4     1170473282
   37       5     1507291398
   37       6      370706738
   37       7      470032997
   37       8      713724541
   37       9      662486123
   38       0     1962932126
   38       1     1640690665
   38       2      432166138
   38       3     2137346560
   38       4     1711579506
   38       5      853550241
   38       6     1601718648
   38       7     2094311344
   38       8     1938265877
   38       9     1518704253
   39       0     1558992550
   39       1      120018599
   39       2      544454625
   39       3     1241601617
   39       4      744985026
   39       5      421820460
   39       6      225249146
   39       7       53525491
   39       8      622129051
   39       9     1253878024
   40       0     1217239107
   40       1     2025010717
   40       2      998972444
   40       3     2014456735
   40       4     1094803376
   40       5      550539850
   40       6      575019502
   40       7     1027225218
   40       8      133713221
   40       9     1434495945
   41       0     1888268524
   41       1      658182244
   41       2     1778581390
   41       3      979861031
   41       4      612376724
   41       5      128311681
   41       6     1207294874
   41       7     1869431008
   41       8     1857003694
   41       9     2025805271
   42       0      762589667
   42       1     1683637844
   42       2      340855886
   42       3      480542291
   42       4      730857846
   42       5      521761016
   42       6      893576977
   42       7     1622290109
   42       8     1412882187
   42       9       10440408
   43       0     1664219794
   43       1     1584211789
   43       2     1265361169
   43       3     1046193302
   43       4     1338327892
   43       5     1291592408
   43       6     2120217234
   43       7      767118120
   43       8      139998433
   43       9      126213259
   44       0      875480028
   44       1      837462035
   44       2     1669100678
   44       3     1516118621
   44       4      343804752
   44       5      368472138
   44       6     1452821244
   44       7     1799250399
   44       8     1391477871
   44       9     2107651026
   45       0     1367696980
   45       1       81483093
   45       2      824219566
   45       3      831539034
   45       4     1878433303
   45       5      610947288
   45       6     1525132368
   45       7      927127102
   45       8        5646621
   45       9     1100766263
   46       0      359936408
   46       1     1627832978
   46       2     1115340386
   46       3      308528183
   46       4      182817713
   46       5     2055484294
   46       6      646056536
   46       7     1561783007
   46       8     2118043033
   46       9     1781862981
   47       0      768855329
   47       1      930355275
   47       2      826518078
   47       3     1449054206
   47       4     1895059746
   47       5     1415413978
   47       6     1788233713
   47       7     2066722670
   47       8     1086570793
   47       9     2011064675
   48       0     1855668840
   48       1      989152817
   48       2      267190772
   48       3      103661886
   48       4     1603897022
   48       5       93589202
   48       6      423913073
   48       7     1957128346
   48       8     2072622597
   48       9     2124065961
   49       0     1494819633
   49       1      859683439
   49       2     1936595738
   49       3      522077312
   49       4      998287865
   49       5      250772287
   49       6     1524211761
   49       7     1078564915
   49       8     1293606901
   49       9     1150280600
   50       0     1461198495
   50       1     1008009207
   50       2     1121500773
   50       3     1145335460
   50       4      426497311
   50       5     1461850140
   50       6     1120959466
   50       7     1786910851
   50       8      464173040
   50       9     1794919958
   51       0     1619982810
   51       1      303242424
   51       2     1519764661
   51       3     1406424601
   51       4     1514684408
   51       5     1354390491
   51       6     1581597817
   51       7       33646223
   51       8      643144702
   51       9     1249188671
   52       0     1694622947
   52       1     1380397032
   52       2     1070919797
   52       3     1007447073
   52       4      470392191
   52       5     1061781075
   52       6      134005742
   52       7     1925698402
   52       8      302983108
   52       9     1441338080
   53       0      606998800
   53       1      866099890
   53       2     1955224996
   53       3     1650403096
   53       4      630451720
   53       5     1622112103
   53       6     2014693630
   53       7      429420365
   53       8      665605595
   53       9     2085573691
   54       0     1714560836
   54       1     1830463454
   54       2     1947517159
   54       3      612438537
   54       4     1582420953
   54       5      405894331
   54       6     1719833093
   54       7     2073913197
   54       8      328965175
   54       9     1676024552
   55       0     1355190879
   55       1     1959902718
   55       2     2081562063
   55       3     1182151215
   55       4     1679095169
   55       5        6251091
   55       6     1486343076
   55       7      254439698
   55       8      348879079
   55       9     1013474873
   56       0      514933636
   56       1      616187314
   56       2     1322884575
   56       3     1231304514
   56       4      798274293
   56       5     1250052930
   56       6     1627879133
   56       7      451130656
   56       8     1760449615
   56       9      403552056
   57       0     1308264890
   57       1     1532597373
   57       2      344424333
   57       3      839556723
   57       4     1002409957
   57       5      886178268
   57       6     1608296299
   57       7     2014966809
   57       8      473606359
   57       9     2024933971
   58       0      556590434
   58       1      766316598
   58       2     2112836154
   58       3     1225651900
   58       4     1573576400
   58       5     1771860443
   58       6     1859501904
   58       7     1009267359
   58       8      240773339
   58       9     1198618853
   59       0     1188314920
   59       1      653422779
   59       2     1125416893
   59       3      334542196
   59       4      272487663
   59       5     1466802265
   59       6     1419110373
   59       7     1385220156
   59       8     1632997114
   59       9     1177557874
   60       0     1531491550
   60       1     1077092683
   60       2     1419364592
   60       3      851984551
   60       4     1825126689
   60       5     2138891241
   60       6     1349597371
   60       7     1491090520
   60       8      726555801
   60       9      621541717
   61       0     1818175510
   61       1      408566868
   61       2       63266500
   61       3     1357088526
   61       4      827644459
   61       5      316946261
   61       6      780461075
   61       7       71596978
   61       8      187827239
   61       9      114279746
   62       0     1554423042
   62       1     2090790738
   62       2      685991651
   62       3      175106084
   62       4      916961896
   62       5      234423717
   62       6      265228711
   62       7     1569060698
   62       8      570660420
   62       9     1038877896
   63       0     1075690263
   63       1      847719543
   63       2     2082517451
   63       3     2089958431
   63       4      577746470
   63       5     1094178432
   63       6     1576479762
   63       7     1782223985
   63       8      995427106
   63       9     1096761883
--------------------------------------------------------------------------------
BEGIN ITERATION 1/10                                                            
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
                               STRUCTURE DATABASE                               
--------------------------------------------------------------------------------
structure_directory:../structure_db

        name               filename      
-------------------- --------------------
Ni_fcc               Ni_fcc_100_unit.gga.relaxed.vasp
Ni_bcc               Ni_bcc_100_unit.gga.relaxed.vasp
Ni_sc                Ni_sc_100_unit.gga.relaxed.vasp
Ni_hcp               Ni_hcp_ortho.vasp   
Ni_dia               Ni_dia_100_unit.gga.relaxed.vasp
Ni_fcc_100_unit      Ni_fcc_100_unit.gga.relaxed.vasp
Ni_fcc_110_unit      Ni_fcc_110_unit.gga.relaxed.vasp
Ni_fcc_111_unit      Ni_fcc_111_unit.gga.relaxed.vasp
Ni_fcc_100_s         Ni_fcc_100_surf.vasp
Ni_fcc_110_s         Ni_fcc_110_surf.vasp
Ni_fcc_111_s         Ni_fcc_111_surf.vasp
Ni_fcc_isf           Ni_fcc_isf.vasp     
Ni_fcc_esf           Ni_fcc_esf.vasp     
Ni_fcc_vac           Ni_fcc_sc_333_vac.vasp
Ni_fcc_o_int         Ni_fcc_sc_333_o_int.vasp
Ni_fcc_i_int         Ni_fcc_sc_333_t_int.vasp
--------------------------------------------------------------------------------
_mc_sample_type=parametric
R0: Starting iteration N=0
R0: Attemping n_samples=10000 with sampling_type=parametric
R54:10 samples completed in 3.5569s. Avg_time = 0.3557. n_errors = 5
R32:10 samples completed in 3.6680s. Avg_time = 0.3668. n_errors = 4
R12:10 samples completed in 3.7152s. Avg_time = 0.3715. n_errors = 4
R60:10 samples completed in 3.7712s. Avg_time = 0.3771. n_errors = 4
R8:10 samples completed in 3.7787s. Avg_time = 0.3779. n_errors = 5
R34:10 samples completed in 3.7851s. Avg_time = 0.3785. n_errors = 2
R40:10 samples completed in 3.7923s. Avg_time = 0.3792. n_errors = 2
R31:10 samples completed in 3.7948s. Avg_time = 0.3795. n_errors = 4
R61:10 samples completed in 3.7949s. Avg_time = 0.3795. n_errors = 4
R5:10 samples completed in 3.7974s. Avg_time = 0.3797. n_errors = 3
R13:10 samples completed in 3.8175s. Avg_time = 0.3818. n_errors = 4
R29:10 samples completed in 3.8734s. Avg_time = 0.3873. n_errors = 3
R45:10 samples completed in 3.8764s. Avg_time = 0.3876. n_errors = 3
R35:10 samples completed in 3.7850s. Avg_time = 0.3785. n_errors = 6
R18:10 samples completed in 3.8836s. Avg_time = 0.3884. n_errors = 4
R19:10 samples completed in 3.8853s. Avg_time = 0.3885. n_errors = 3
R9:10 samples completed in 3.8884s. Avg_time = 0.3888. n_errors = 5

R23:10 samples completed in 3.8899s. Avg_time = 0.3890. n_errors = 2
R16:10 samples completed in 3.8907s. Avg_time = 0.3891. n_errors = 5
R28:10 samples completed in 3.8960s. Avg_time = 0.3896. n_errors = 3
R38:10 samples completed in 3.9024s. Avg_time = 0.3902. n_errors = 4
R20:10 samples completed in 3.8989s. Avg_time = 0.3899. n_errors = 4
R56:10 samples completed in 3.9095s. Avg_time = 0.3910. n_errors = 1
R15:10 samples completed in 3.7837s. Avg_time = 0.3784. n_errors = 5
R2:10 samples completed in 3.9125s. Avg_time = 0.3913. n_errors = 5
R26:10 samples completed in 3.9244s. Avg_time = 0.3924. n_errors = 1
R44:10 samples completed in 3.9244s. Avg_time = 0.3924. n_errors = 4
R11:10 samples completed in 3.9266s. Avg_time = 0.3927. n_errors = 4
R30:10 samples completed in 3.9312s. Avg_time = 0.3931. n_errors = 3
R1:10 samples completed in 3.9311s. Avg_time = 0.3931. n_errors = 1
R37:10 samples completed in 3.9764s. Avg_time = 0.3976. n_errors = 3
R39:10 samples completed in 3.9097s. Avg_time = 0.3910. n_errors = 2
R62:10 samples completed in 3.9877s. Avg_time = 0.3988. n_errors = 3
R24:10 samples completed in 3.9932s. Avg_time = 0.3993. n_errors = 1
R63:10 samples completed in 3.9984s. Avg_time = 0.3998. n_errors = 2
R55:10 samples completed in 3.9243s. Avg_time = 0.3924. n_errors = 1
6:10 samples completed in 4.0016s. Avg_time = 0.4002. n_errors = 1
R36:10 samples completed in 4.1140s. Avg_time = 0.4114. n_errors = 1
R51:10 samples completed in 4.1575s. Avg_time = 0.4157. n_errors = 2
R47:10 samples completed in 4.1658s. Avg_time = 0.4166. n_errors = 2
R50:10 samples completed in 4.1826s. Avg_time = 0.4183. n_errors = 4
R14:10 samples completed in 4.1842s. Avg_time = 0.4184. n_errors = 2
R7:10 samples completed in 4.1954s. Avg_time = 0.4195. n_errors = 6
R33:10 samples completed in 4.1145s. Avg_time = 0.4114. n_errors = 3
R42:10 samples completed in 4.2868s. Avg_time = 0.4287. n_errors = 3
R41:10 samples completed in 4.3033s. Avg_time = 0.4303. n_errors = 2
R17:10 samples completed in 4.3059s. Avg_time = 0.4306. n_errors = 4
R48:10 samples completed in 4.3079s. Avg_time = 0.4308. n_errors = 2
R57:10 samples completed in 4.4023s. Avg_time = 0.4402. n_errors = 4
R53:10 samples completed in 4.3032s. Avg_time = 0.4303. n_errors = 3
R25:10 samples completed in 4.8412s. Avg_time = 0.4841. n_errors = 3
R49:20 samples completed in 7.2343s. Avg_time = 0.3617. n_errors = 9
R32:20 samples completed in 7.4436s. Avg_time = 0.3722. n_errors = 9
R56:20 samples completed in 7.5108s. Avg_time = 0.3755. n_errors = 7
R27:20 samples completed in 7.5143s. Avg_time = 0.3757. n_errors = 9
R55:20 samples completed in 7.5196s. Avg_time = 0.3760. n_errors = 6
R31:20 samples completed in 7.5313s. Avg_time = 0.3766. n_errors = 10
R13:20 samples completed in 7.6036s. Avg_time = 0.3802. n_errors = 7
R19:20 samples completed in 7.6083s. Avg_time = 0.3804. n_errors = 7
R54:20 samples completed in 7.6137s. Avg_time = 0.3807. n_errors = 6
R60:20 samples completed in 7.6214s. Avg_time = 0.3811. n_errors = 6
R39:20 samples completed in 7.6243s. Avg_time = 0.3812. n_errors = 7
R34:20 samples completed in 7.6276s. Avg_time = 0.3814. n_errors = 6
R23:20 samples completed in 7.6281s. Avg_time = 0.3814. n_errors = 6
R21:20 samples completed in 7.6301s. Avg_time = 0.3815. n_errors = 6
R35:20 samples completed in 7.6358s. Avg_time = 0.3818. n_errors = 11
R12:20 samples completed in 7.6380s. Avg_time = 0.3819. n_errors = 7
R40:20 samples completed in 7.6406s. Avg_time = 0.3820. n_errors = 3
R10:20 samples completed in 7.6395s. Avg_time = 0.3820. n_errors = 7
R61:20 samples completed in 7.6430s. Avg_time = 0.3822. n_errors = 5
R52:20 samples completed in 7.6497s. Avg_time = 0.3825. n_errors = 13
R44:20 samples completed in 7.6521s. Avg_time = 0.3826. n_errors = 8
R0:20 samples completed in 7.6607s. Avg_time = 0.3830. n_errors = 8
R16:20 samples completed in 7.7210s. Avg_time = 0.3861. n_errors = 9
R45:20 samples completed in 7.7316s. Avg_time = 0.3866. n_errors = 7
R43:20 samples completed in 7.7332s. Avg_time = 0.3867. n_errors = 6
R58:20 samples completed in 7.7389s. Avg_time = 0.3869. n_errors = 4
R18:20 samples completed in 7.7708s. Avg_time = 0.3885. n_errors = 7
R24:20 samples completed in 7.7809s. Avg_time = 0.3890. n_errors = 5
R59:20 samples completed in 7.8292s. Avg_time = 0.3915. n_errors = 7
R62:20 samples completed in 7.8397s. Avg_time = 0.3920. n_errors = 7
R50:20 samples completed in 7.8757s. Avg_time = 0.3938. n_errors = 9
R28:20 samples completed in 7.8875s. Avg_time = 0.3944. n_errors = 8
R8:20 samples completed in 7.8892s. Avg_time = 0.3945. n_errors = 8
R37:20 samples completed in 7.9127s. Avg_time = 0.3956. n_errors = 4
R29:20 samples completed in 7.8761s. Avg_time = 0.3938. n_errors = 4
R20:20 samples completed in 7.9307s. Avg_time = 0.3965. n_errors = 6
R6:20 samples completed in 7.9804s. Avg_time = 0.3990. n_errors = 4
R15:20 samples completed in 7.9808s. Avg_time = 0.3990. n_errors = 9
R51:20 samples completed in 7.9830s. Avg_time = 0.3991. n_errors = 5
R2:20 samples completed in 7.9918s. Avg_time = 0.3996. n_errors = 7
R9:20 samples completed in 7.9922s. Avg_time = 0.3996. n_errors = 8
R11:20 samples completed in 7.9936s. Avg_time = 0.3997. n_errors = 6
R46:20 samples completed in 7.9984s. Avg_time = 0.3999. n_errors = 5
R47:20 samples completed in 8.0067s. Avg_time = 0.4003. n_errors = 4
R63:20 samples completed in 8.0129s. Avg_time = 0.4006. n_errors = 4
R38:20 samples completed in 8.0252s. Avg_time = 0.4013. n_errors = 7
R33:20 samples completed in 8.0626s. Avg_time = 0.4031. n_errors = 7
R42:20 samples completed in 8.0860s. Avg_time = 0.4043. n_errors = 7
R3:20 samples completed in 8.0851s. Avg_time = 0.4043. n_errors = 8
R30:20 samples completed in 7.9993s. Avg_time = 0.4000. n_errors = 6
R4:20 samples completed in 8.1126s. Avg_time = 0.4056. n_errors = 6
R36:20 samples completed in 8.2112s. Avg_time = 0.4106. n_errors = 2
R14:20 samples completed in 8.2661s. Avg_time = 0.4133. n_errors = 7
R53:20 samples completed in 8.3683s. Avg_time = 0.4184. n_errors = 8
R17:20 samples completed in 8.4010s. Avg_time = 0.4201. n_errors = 7
R41:20 samples completed in 8.4007s. Avg_time = 0.4200. n_errors = 4
R57:20 samples completed in 8.4863s. Avg_time = 0.4243. n_errors = 7
R48:20 samples completed in 8.4022s. Avg_time = 0.4201. n_errors = 5
R26:20 samples completed in 8.7784s. Avg_time = 0.4389. n_errors = 3
R25:20 samples completed in 8.8003s. Avg_time = 0.4400. n_errors = 6
R49:30 samples completed in 10.7866s. Avg_time = 0.3596. n_errors = 13
R32:30 samples completed in 11.0904s. Avg_time = 0.3697. n_errors = 14
R27:30 samples completed in 11.1468s. Avg_time = 0.3716. n_errors = 12
R56:30 samples completed in 11.1524s. Avg_time = 0.3717. n_errors = 11
R34:30 samples completed in 11.1697s. Avg_time = 0.3723. n_errors = 11
R55:30 samples completed in 11.1749s. Avg_time = 0.3725. n_errors = 10
R35:30 samples completed in 11.1810s. Avg_time = 0.3727. n_errors = 16
R19:30 samples completed in 11.2529s. Avg_time = 0.3751. n_errors = 11
R59:30 samples completed in 11.2680s. Avg_time = 0.3756. n_errors = 13
R23:30 samples completed in 11.2756s. Avg_time = 0.3759. n_errors = 8
R10:30 samples completed in 11.3582s. Avg_time = 0.3786. n_errors = 10
R60:30 samples completed in 11.3616s. Avg_time = 0.3787. n_errors = 11
R12:30 samples completed in 11.3646s. Avg_time = 0.3788. n_errors = 11
R45:30 samples completed in 11.3647s. Avg_time = 0.3788. n_errors = 10
R52:30 samples completed in 11.3837s. Avg_time = 0.3795. n_errors = 17
R44:30 samples completed in 11.3901s. Avg_time = 0.3797. n_errors = 14
R50:30 samples completed in 11.4670s. Avg_time = 0.3822. n_errors = 14
R40:30 samples completed in 11.3853s. Avg_time = 0.3795. n_errors = 4

R21:30 samples completed in 11.4736s. Avg_time = 0.3825. n_errors = 9
R61:30 samples completed in 11.4837s. Avg_time = 0.3828. n_errors = 6
R39:30 samples completed in 11.4902s. Avg_time = 0.3830. n_errors = 10
R0:30 samples completed in 11.4955s. Avg_time = 0.3832. n_errors = 14
R54:30 samples completed in 11.5328s. Avg_time = 0.3844. n_errors = 9
R63:30 samples completed in 11.5358s. Avg_time = 0.3845. n_errors = 9
R31:30 samples completed in 11.5449s. Avg_time = 0.3848. n_errors = 13
R5:30 samples completed in 11.5888s. Avg_time = 0.3863. n_errors = 8
R58:30 samples completed in 11.5913s. Avg_time = 0.3864. n_errors = 6
R16:30 samples completed in 11.5929s. Avg_time = 0.3864. n_errors = 11
R18:30 samples completed in 11.6379s. Avg_time = 0.3879. n_errors = 10
R42:30 samples completed in 11.6473s. Avg_time = 0.3882. n_errors = 11
R37:30 samples completed in 11.7081s. Avg_time = 0.3903. n_errors = 7
R15:30 samples completed in 11.7283s. Avg_time = 0.3909. n_errors = 12
R1:30 samples completed in 11.7415s. Avg_time = 0.3914. n_errors = 9
R24:30 samples completed in 11.7484s. Avg_time = 0.3916. n_errors = 11
R47:30 samples completed in 11.7601s. Avg_time = 0.3920. n_errors = 6
R2:30 samples completed in 11.7665s. Avg_time = 0.3922. n_errors = 10
R22:30 samples completed in 11.7716s. Avg_time = 0.3924. n_errors = 7
R28:30 samples completed in 11.7739s. Avg_time = 0.3925. n_errors = 12
R30:30 samples completed in 11.7792s. Avg_time = 0.3926. n_errors = 10
R9:30 samples completed in 11.7830s. Avg_time = 0.3928. n_errors = 10
R29:30 samples completed in 11.8348s. Avg_time = 0.3945. n_errors = 5
R8:30 samples completed in 11.8434s. Avg_time = 0.3948. n_errors = 9
R38:30 samples completed in 11.8577s. Avg_time = 0.3953. n_errors = 9
R6:30 samples completed in 11.8652s. Avg_time = 0.3955. n_errors = 6
R11:30 samples completed in 11.8916s. Avg_time = 0.3964. n_errors = 8
R46:30 samples completed in 11.9813s. Avg_time = 0.3994. n_errors = 6
R51:30 samples completed in 12.0357s. Avg_time = 0.4012. n_errors = 5
R33:30 samples completed in 12.0509s. Avg_time = 0.4017. n_errors = 13
R4:30 samples completed in 12.1384s. Avg_time = 0.4046. n_errors = 9
R7:30 samples completed in 12.1689s. Avg_time = 0.4056. n_errors = 13
R3:30 samples completed in 12.1758s. Avg_time = 0.4059. n_errors = 9
R14:30 samples completed in 12.2591s. Avg_time = 0.4086. n_errors = 9
R36:30 samples completed in 12.2614s. Avg_time = 0.4087. n_errors = 6
R17:30 samples completed in 12.2953s. Avg_time = 0.4098. n_errors = 9
R53:30 samples completed in 12.3475s. Avg_time = 0.4116. n_errors = 10
R41:30 samples completed in 12.4996s. Avg_time = 0.4167. n_errors = 5
R26:30 samples completed in 12.5363s. Avg_time = 0.4179. n_errors = 5
R57:30 samples completed in 12.5359s. Avg_time = 0.4179. n_errors = 10
R25:30 samples completed in 12.5553s. Avg_time = 0.4185. n_errors = 10
R48:30 samples completed in 12.7910s. Avg_time = 0.4264. n_errors = 6
R49:40 samples completed in 14.4453s. Avg_time = 0.3611. n_errors = 17
R59:40 samples completed in 14.6348s. Avg_time = 0.3659. n_errors = 19
R62:40 samples completed in 14.7340s. Avg_time = 0.3684. n_errors = 18
R32:40 samples completed in 14.8132s. Avg_time = 0.3703. n_errors = 16
R19:40 samples completed in 14.8219s. Avg_time = 0.3705. n_errors = 15
R55:40 samples completed in 14.8339s. Avg_time = 0.3708. n_errors = 14
R23:40 samples completed in 14.9232s. Avg_time = 0.3731. n_errors = 12
R27:40 samples completed in 14.9259s. Avg_time = 0.3731. n_errors = 14
R39:40 samples completed in 14.9834s. Avg_time = 0.3746. n_errors = 16
R43:40 samples completed in 14.9955s. Avg_time = 0.3749. n_errors = 14
R34:40 samples completed in 15.0894s. Avg_time = 0.3772. n_errors = 12
R10:40 samples completed in 15.0910s. Avg_time = 0.3773. n_errors = 14
R54:40 samples completed in 15.1758s. Avg_time = 0.3794. n_errors = 15
R40:40 samples completed in 15.1959s. Avg_time = 0.3799. n_errors = 8

R60:40 samples completed in 15.2005s. Avg_time = 0.3800. n_errors = 15
